Species,IDP,IDR_start,IDR_end,IDR_percentage
Neurospora_crassa,EDO64867,0,37,0.06035889070146819
Neurospora_crassa,EAA29213,60,91,0.06753812636165578
Neurospora_crassa,EAA29213,199,242,0.09368191721132897
Neurospora_crassa,EAA29212,33,77,0.08445297504798464
Neurospora_crassa,ESA41790,0,116,0.0746941403734707
Neurospora_crassa,ESA41790,133,264,0.08435286542176433
Neurospora_crassa,ESA41790,611,661,0.03219575016097875
Neurospora_crassa,ESA41790,694,760,0.04249839021249195
Neurospora_crassa,ESA41790,1445,1518,0.04700579523502898
Neurospora_crassa,ESA41791,0,116,0.0746941403734707
Neurospora_crassa,ESA41791,133,264,0.08435286542176433
Neurospora_crassa,ESA41791,611,661,0.03219575016097875
Neurospora_crassa,ESA41791,694,760,0.04249839021249195
Neurospora_crassa,ESA41791,1445,1518,0.04700579523502898
Neurospora_crassa,ESA41792,0,116,0.0746941403734707
Neurospora_crassa,ESA41792,133,264,0.08435286542176433
Neurospora_crassa,ESA41792,611,661,0.03219575016097875
Neurospora_crassa,ESA41792,694,760,0.04249839021249195
Neurospora_crassa,ESA41792,1445,1518,0.04700579523502898
Neurospora_crassa,ESA41794,332,437,0.12096774193548387
Neurospora_crassa,ESA41794,590,627,0.04262672811059908
Neurospora_crassa,ESA41794,631,868,0.2730414746543779
Neurospora_crassa,ESA41793,332,437,0.12096774193548387
Neurospora_crassa,ESA41793,590,627,0.04262672811059908
Neurospora_crassa,ESA41793,631,868,0.2730414746543779
Neurospora_crassa,EDO65430,12,42,0.028089887640449437
Neurospora_crassa,EDO65430,58,156,0.09176029962546817
Neurospora_crassa,EDO65430,210,338,0.1198501872659176
Neurospora_crassa,EDO65430,346,377,0.02902621722846442
Neurospora_crassa,EDO65430,935,981,0.04307116104868914
Neurospora_crassa,EDO65431,0,124,0.23574144486692014
Neurospora_crassa,EAA29207,470,521,0.04083266613290633
Neurospora_crassa,EAA29207,819,881,0.049639711769415534
Neurospora_crassa,EAA29207,915,962,0.03763010408326661
Neurospora_crassa,ESA41796,553,630,0.09288299155609167
Neurospora_crassa,ESA41796,632,676,0.05307599517490953
Neurospora_crassa,ESA41795,553,630,0.09288299155609167
Neurospora_crassa,ESA41795,632,676,0.05307599517490953
Neurospora_crassa,EAA29204,154,209,0.08943089430894309
Neurospora_crassa,EAA29204,242,290,0.07804878048780488
Neurospora_crassa,EAA29204,311,363,0.08455284552845528
Neurospora_crassa,EAA28904,0,307,0.4637462235649547
Neurospora_crassa,EAA28904,323,409,0.1299093655589124
Neurospora_crassa,EAA28904,449,551,0.1540785498489426
Neurospora_crassa,EAA29264,452,490,0.04269662921348315
Neurospora_crassa,EAA29259,0,110,0.3125
Neurospora_crassa,EAA29259,126,158,0.09090909090909091
Neurospora_crassa,EAA29259,272,352,0.22727272727272727
Neurospora_crassa,EAA29258,99,175,0.29343629343629346
Neurospora_crassa,EAA29255,854,908,0.04927007299270073
Neurospora_crassa,ESA41803,15,48,0.0889487870619946
Neurospora_crassa,ESA41803,298,371,0.1967654986522911
Neurospora_crassa,ESA41802,15,48,0.0889487870619946
Neurospora_crassa,ESA41802,298,371,0.1967654986522911
Neurospora_crassa,EAA29253,0,118,0.11741293532338308
Neurospora_crassa,EAA29253,131,166,0.03482587064676617
Neurospora_crassa,EAA29253,184,220,0.03582089552238806
Neurospora_crassa,EAA29253,500,549,0.04875621890547264
Neurospora_crassa,EAA28622,0,81,0.2076923076923077
Neurospora_crassa,ESA41805,887,921,0.03403403403403404
Neurospora_crassa,ESA41804,887,921,0.03403403403403404
Neurospora_crassa,EAA29349,0,311,0.4157754010695187
Neurospora_crassa,EAA29349,327,603,0.3689839572192513
Neurospora_crassa,EAA29349,661,748,0.1163101604278075
Neurospora_crassa,EAA29350,0,86,0.08695652173913043
Neurospora_crassa,EAA29350,926,977,0.05156723963599596
Neurospora_crassa,EAA29351,0,255,0.2185089974293059
Neurospora_crassa,EAA29351,871,981,0.09425878320479864
Neurospora_crassa,EAA29351,1026,1167,0.12082262210796915
Neurospora_crassa,EAA29352,153,271,0.4354243542435424
Neurospora_crassa,EAA29354,320,355,0.024238227146814405
Neurospora_crassa,EAA29354,1366,1410,0.030470914127423823
Neurospora_crassa,EAA29355,65,97,0.11267605633802817
Neurospora_crassa,EAA29355,120,192,0.2535211267605634
Neurospora_crassa,ESA41806,24,100,0.2900763358778626
Neurospora_crassa,ESA41806,128,184,0.21374045801526717
Neurospora_crassa,ESA41806,210,246,0.13740458015267176
Neurospora_crassa,ESA41807,402,1021,0.5086277732128184
Neurospora_crassa,ESA41807,1037,1080,0.03533278553820871
Neurospora_crassa,ESA41807,1115,1217,0.0838126540673788
Neurospora_crassa,EAA29359,615,663,0.029574861367837338
Neurospora_crassa,EAA29359,699,751,0.03203943314849045
Neurospora_crassa,EAA29359,1461,1622,0.09919901417128774
Neurospora_crassa,EAA29360,0,52,0.0783132530120482
Neurospora_crassa,EAA29360,70,100,0.045180722891566265
Neurospora_crassa,EAA28799,0,768,0.7252124645892352
Neurospora_crassa,EAA28800,917,998,0.06818181818181818
Neurospora_crassa,EAA28800,1027,1084,0.047979797979797977
Neurospora_crassa,EAA28800,1103,1146,0.0361952861952862
Neurospora_crassa,EAA28800,1152,1188,0.030303030303030304
Neurospora_crassa,EAA28801,21,87,0.14285714285714285
Neurospora_crassa,EAA28801,89,161,0.15584415584415584
Neurospora_crassa,EAA28801,192,294,0.22077922077922077
Neurospora_crassa,EAA28802,233,268,0.13059701492537312
Neurospora_crassa,EAA28862,0,112,0.8484848484848485
Neurospora_crassa,EAA28865,52,94,0.08383233532934131
Neurospora_crassa,ESA41810,0,86,0.14309484193011648
Neurospora_crassa,ESA41809,0,86,0.14309484193011648
Neurospora_crassa,EAA28868,218,291,0.11282843894899536
Neurospora_crassa,EAA28868,305,384,0.12210200927357033
Neurospora_crassa,EAA28868,390,453,0.0973724884080371
Neurospora_crassa,EAA28868,468,643,0.2704791344667697
Neurospora_crassa,EAA29066,0,356,0.19295392953929538
Neurospora_crassa,EAA29066,524,713,0.1024390243902439
Neurospora_crassa,EAA29066,717,937,0.11924119241192412
Neurospora_crassa,EAA29066,1698,1732,0.01842818428184282
Neurospora_crassa,EAA29066,1733,1796,0.03414634146341464
Neurospora_crassa,ESA41811,33,74,0.2679738562091503
Neurospora_crassa,ESA41811,99,143,0.2875816993464052
Neurospora_crassa,EDO64879,337,378,0.10173697270471464
Neurospora_crassa,EDO64878,37,69,0.0730593607305936
Neurospora_crassa,EDO64878,82,150,0.1552511415525114
Neurospora_crassa,EAA29059,0,98,0.5025641025641026
Neurospora_crassa,EAA29059,118,195,0.39487179487179486
Neurospora_crassa,EAA29733,309,523,0.39194139194139194
Neurospora_crassa,EAA29736,32,107,0.11591962905718702
Neurospora_crassa,EAA29741,0,194,0.18546845124282982
Neurospora_crassa,EAA29741,728,1040,0.2982791586998088
Neurospora_crassa,EAA29743,15,62,0.05239687848383501
Neurospora_crassa,EAA29743,122,154,0.03567447045707915
Neurospora_crassa,EAA29743,237,278,0.045707915273132664
Neurospora_crassa,EAA29743,330,545,0.23968784838350055
Neurospora_crassa,EAA29743,549,626,0.0858416945373467
Neurospora_crassa,EAA29743,657,734,0.0858416945373467
Neurospora_crassa,EAA29743,744,799,0.06131549609810479
Neurospora_crassa,EAA29743,809,869,0.06688963210702341
Neurospora_crassa,EAA29744,0,79,0.08135942327497425
Neurospora_crassa,EAA29744,119,234,0.1184346035015448
Neurospora_crassa,EAA29744,845,911,0.06797116374871266
Neurospora_crassa,EAA29744,929,971,0.04325437693099897
Neurospora_crassa,EAA29745,411,441,0.06550218340611354
Neurospora_crassa,EAA29747,0,289,1.0
Neurospora_crassa,EAA29750,0,77,0.12984822934232715
Neurospora_crassa,EAA29752,38,68,0.08823529411764706
Neurospora_crassa,ESA41814,764,840,0.07715736040609138
Neurospora_crassa,ESA41815,763,803,0.03940886699507389
Neurospora_crassa,ESA41815,820,870,0.04926108374384237
Neurospora_crassa,EAA29316,515,635,0.1085972850678733
Neurospora_crassa,EAA29316,864,904,0.03619909502262444
Neurospora_crassa,EAA29316,988,1037,0.044343891402714934
Neurospora_crassa,EAA29316,1056,1103,0.04253393665158371
Neurospora_crassa,EDO64941,39,86,0.10730593607305935
Neurospora_crassa,EAA29320,194,268,0.20728291316526612
Neurospora_crassa,EAA29320,305,353,0.13445378151260504
Neurospora_crassa,EAA29321,31,79,0.14953271028037382
Neurospora_crassa,EAA29321,100,158,0.1806853582554517
Neurospora_crassa,EAA29322,0,35,0.10355029585798817
Neurospora_crassa,EAA29322,47,104,0.16863905325443787
Neurospora_crassa,EAA29322,124,170,0.13609467455621302
Neurospora_crassa,EAA29322,171,225,0.15976331360946747
Neurospora_crassa,EAA29324,664,703,0.05064935064935065
Neurospora_crassa,EAA29324,723,768,0.05844155844155844
Neurospora_crassa,EAA29325,96,273,0.6483516483516484
Neurospora_crassa,EAA29331,0,265,0.1606060606060606
Neurospora_crassa,EAA29331,1048,1080,0.019393939393939394
Neurospora_crassa,EAA29331,1122,1242,0.07272727272727272
Neurospora_crassa,EAA29331,1260,1387,0.07696969696969697
Neurospora_crassa,EAA29331,1591,1643,0.03151515151515152
Neurospora_crassa,ESA41819,0,395,0.5922038980509745
Neurospora_crassa,ESA41819,412,522,0.16491754122938532
Neurospora_crassa,ESA41819,527,667,0.2098950524737631
Neurospora_crassa,ESA41818,0,412,0.6023391812865497
Neurospora_crassa,ESA41818,429,539,0.1608187134502924
Neurospora_crassa,ESA41818,544,684,0.2046783625730994
Neurospora_crassa,ESA41817,0,412,0.6023391812865497
Neurospora_crassa,ESA41817,429,539,0.1608187134502924
Neurospora_crassa,ESA41817,544,684,0.2046783625730994
Neurospora_crassa,EAA28789,0,117,0.2392638036809816
Neurospora_crassa,EAA28789,118,307,0.38650306748466257
Neurospora_crassa,EAA28790,0,130,0.1828410689170183
Neurospora_crassa,EAA28790,614,687,0.10267229254571027
