Species,IDP,IDR_percentage,IDR
Neurospora_crassa,EDO64867,0.06035889070146819,[0: 37]
Neurospora_crassa,EAA29213,0.16122004357298475,[60: 91];[199: 242]
Neurospora_crassa,EAA29212,0.08445297504798464,[33: 77]
Neurospora_crassa,ESA41790,0.2807469414037347,[0: 116];[133: 264];[611: 661];[694: 760];[1445: 1518]
Neurospora_crassa,ESA41791,0.2807469414037347,[0: 116];[133: 264];[611: 661];[694: 760];[1445: 1518]
Neurospora_crassa,ESA41792,0.2807469414037347,[0: 116];[133: 264];[611: 661];[694: 760];[1445: 1518]
Neurospora_crassa,ESA41794,0.43663594470046085,[332: 437];[590: 627];[631: 868]
Neurospora_crassa,ESA41793,0.43663594470046085,[332: 437];[590: 627];[631: 868]
Neurospora_crassa,EDO65430,0.31179775280898875,[12: 42];[58: 156];[210: 338];[346: 377];[935: 981]
Neurospora_crassa,EDO65431,0.23574144486692014,[0: 124]
Neurospora_crassa,EAA29207,0.12810248198558846,[470: 521];[819: 881];[915: 962]
Neurospora_crassa,ESA41796,0.14595898673100122,[553: 630];[632: 676]
Neurospora_crassa,ESA41795,0.14595898673100122,[553: 630];[632: 676]
Neurospora_crassa,EAA29204,0.25203252032520324,[154: 209];[242: 290];[311: 363]
Neurospora_crassa,EAA28904,0.7477341389728097,[0: 307];[323: 409];[449: 551]
Neurospora_crassa,EAA29264,0.04269662921348315,[452: 490]
Neurospora_crassa,EAA29259,0.6306818181818182,[0: 110];[126: 158];[272: 352]
Neurospora_crassa,EAA29258,0.29343629343629346,[99: 175]
Neurospora_crassa,EAA29255,0.04927007299270073,[854: 908]
Neurospora_crassa,ESA41803,0.2857142857142857,[15: 48];[298: 371]
Neurospora_crassa,ESA41802,0.2857142857142857,[15: 48];[298: 371]
Neurospora_crassa,EAA29253,0.23681592039800994,[0: 118];[131: 166];[184: 220];[500: 549]
Neurospora_crassa,EAA28622,0.2076923076923077,[0: 81]
Neurospora_crassa,ESA41805,0.03403403403403404,[887: 921]
Neurospora_crassa,ESA41804,0.03403403403403404,[887: 921]
Neurospora_crassa,EAA29349,0.9010695187165776,[0: 311];[327: 603];[661: 748]
Neurospora_crassa,EAA29350,0.1385237613751264,[0: 86];[926: 977]
Neurospora_crassa,EAA29351,0.43359040274207367,[0: 255];[871: 981];[1026: 1167]
Neurospora_crassa,EAA29352,0.4354243542435424,[153: 271]
Neurospora_crassa,EAA29354,0.054709141274238225,[320: 355];[1366: 1410]
Neurospora_crassa,EAA29355,0.36619718309859156,[65: 97];[120: 192]
Neurospora_crassa,ESA41806,0.6412213740458015,[24: 100];[128: 184];[210: 246]
