Species,Total_protein,Total_IDP
Absidia_glauca, 14891, 6563
Absidia_repens, 14915, 6003
Acaromyces_ingoldii, 8026, 4279
Acidomyces_richmondensis, 11177, 4141
Acidomyces_richmondensis, 10338, 3941
Acremonium_chrysogenum, 8901, 4580
Agaricus_bisporus, 11278, 4172
Allomyces_macrogynus, 19447, 10025
Alternaria_alternata, 13466, 5439
Amanita_muscaria, 18093, 5384
Amanita_thiersii, 10346, 3836
Amorphotheca_resinae, 9642, 4203
Amphiamblys_sp, 3642, 682
Anaeromyces_robustus, 12833, 4452
Anncaliia_algerae, 5245, 290
Anncaliia_algerae, 3598, 260
Anthracocystis_flocculosa, 4425, 2972
Armillaria_gallica, 25695, 6392
Armillaria_ostoyae, 22299, 7086
Armillaria_solidipes, 20808, 5707
Arthrobotrys_oligospora, 11479, 5398
Ascochyta_rabiei, 10596, 5072
Ascoidea_rubescens, 6787, 2238
Ascosphaera_apis, 6442, 3542
Ashbya_gossypii, 4776, 1682
Aspergillus_aculeatinus, 12028, 4623
Aspergillus_aculeatus, 10843, 4302
Aspergillus_arachidicola, 12090, 4434
Aspergillus_bombycis, 12265, 4479
Aspergillus_brasiliensis, 12990, 4718
Aspergillus_brunneoviolaceus, 12073, 4527
Aspergillus_calidoustus, 15384, 5576
Aspergillus_campestris, 9756, 4275
Aspergillus_candidus, 9639, 4214
Aspergillus_carbonarius, 11478, 4061
Aspergillus_clavatus, 9121, 3909
Aspergillus_cristatus, 10344, 4685
Aspergillus_ellipticus, 12882, 4850
Aspergillus_eucalypticola, 11933, 4508
Aspergillus_flavus, 13485, 4342
Aspergillus_flavus, 13196, 4573
Aspergillus_fumigatus, 9623, 3951
Aspergillus_fumigatus, 9284, 3912
Aspergillus_fumigatus, 8825, 3774
Aspergillus_fumigatus, 9540, 4020
Aspergillus_fumigatusa1163, 9929, 4033
Aspergillus_glaucus, 11255, 4400
Aspergillus_heteromorphus, 11130, 4509
Aspergillus_indologenus, 12161, 4667
Aspergillus_japonicus, 12022, 4587
Aspergillus_lacticoffeatus, 13082, 4802
Aspergillus_lentulus, 9680, 4084
Aspergillus_luchuensis, 13503, 4869
Aspergillus_luchuensis, 12920, 4847
Aspergillus_neoniger, 11939, 4473
Aspergillus_nidulans, 10534, 4223
Aspergillus_nidulans, 9541, 4091
Aspergillus_niger, 13942, 5128
Aspergillus_niger, 10950, 3900
Aspergillus_niger, 10373, 4303
Aspergillus_niger, 11236, 4375
Aspergillus_nomius, 11914, 4407
Aspergillus_novofumigatus, 11534, 4234
Aspergillus_ochraceoroseus, 7829, 3609
Aspergillus_ochraceoroseus, 8917, 3761
Aspergillus_oryzae, 12074, 3953
