ACCESSION,SPECIES,ASM_NAME,NCBI_TAXID,ASM_LENGTH,TOTAL_PROTEIN,DNA_URL,PEP_URL,FILENAME,phylum,subphylum,class,subclass,order,family,genus,TOTAL_IDP,NAME
GCA_001661425.1,[Candida] arabinofermentans NRRL YB-2248 (GCA_001661425),Canar1,130810,13233932,5827,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_arabinofermentans_nrrl_yb_2248_gca_001661425/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_arabinofermentans_nrrl_yb_2248_gca_001661425/pep,_candida_arabinofermentans_nrrl_yb_2248_gca_001661425.Canar1,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Pichiaceae,Ogataea,1939,_candida_arabinofermentans
GCA_001189475.1,[Candida] auris str. 6684 (GCA_001189475),ASM118947v1,498019,12498763,7461,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_auris_gca_001189475/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_auris_gca_001189475/pep,_candida_auris_gca_001189475.ASM118947v1,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,1993,_candida_auris
GCA_002759435.2,[Candida] auris (GCA_002759435),Cand_auris_B8441_V2,498019,12365959,5417,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_auris_gca_002759435/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_auris_gca_002759435/pep,_candida_auris_gca_002759435.Cand_auris_B8441_V2,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,2144,_candida_auris
GCA_002775015.1,[Candida] auris (GCA_002775015),Cand_auris_B11221_V1,498019,12741178,5520,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_auris_gca_002775015/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_auris_gca_002775015/pep,_candida_auris_gca_002775015.Cand_auris_B11221_V1,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,2172,_candida_auris
GCA_003013715.1,[Candida] auris (GCA_003013715),Cand_auris_B11220,498019,12111869,5382,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_auris_gca_003013715/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_auris_gca_003013715/pep,_candida_auris_gca_003013715.Cand_auris_B11220,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,2131,_candida_auris
GCA_003014415.1,[Candida] auris (GCA_003014415),Cand_auris_B11243,498019,12354602,5437,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_auris_gca_003014415/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_auris_gca_003014415/pep,_candida_auris_gca_003014415.Cand_auris_B11243,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,2153,_candida_auris
GCA_002926085.1,[Candida] duobushaemulonis str. B09383 (GCA_002926085),CanDuoHae_v1.0,1231522,12580400,5173,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_duobushaemulonis_gca_002926085/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_duobushaemulonis_gca_002926085/pep,_candida_duobushaemulonis_gca_002926085.CanDuoHae_v1.0,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,2134,_candida_duobushaemulonis
GCA_000002545.2,[Candida] glabrata str. CBS138 (GCA_000002545),ASM254v2,5478,12318245,5202,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/_candida_glabrata_gca_000002545/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/_candida_glabrata_gca_000002545/pep,_candida_glabrata_gca_000002545.ASM254v2,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,1972,_candida_glabrata
GCA_001466525.1,[Candida] glabrata (GCA_001466525),ASM146652v1,5478,12622465,5214,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466525/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466525/pep,_candida_glabrata_gca_001466525.ASM146652v1,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,2019,_candida_glabrata
GCA_001466535.1,[Candida] glabrata (GCA_001466535),ASM146653v1,5478,12604920,5191,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466535/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466535/pep,_candida_glabrata_gca_001466535.ASM146653v1,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,1994,_candida_glabrata
