ACCESSION,DISPLAY_NAME,FILENAME,ASM_NAME,ASM_LENGTH,TOTAL_PROTEIN,NCBI_TAXID,phylum,subphylum,class,subclass,order,family,genus,species,TOTAL_IDP
GCA_001661425.1,[Candida] arabinofermentans NRRL YB-2248 (GCA_001661425),_candida_arabinofermentans_nrrl_yb_2248_gca_001661425.Canar1,Canar1,13233932,5827,130810,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Pichiaceae,Ogataea,[Candida] arabinofermentans,1939
GCA_001189475.1,[Candida] auris str. 6684 (GCA_001189475),_candida_auris_gca_001189475.ASM118947v1,ASM118947v1,12498763,7461,498019,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,[Candida] auris,1993
GCA_002759435.2,[Candida] auris (GCA_002759435),_candida_auris_gca_002759435.Cand_auris_B8441_V2,Cand_auris_B8441_V2,12365959,5417,498019,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,[Candida] auris,2144
GCA_002775015.1,[Candida] auris (GCA_002775015),_candida_auris_gca_002775015.Cand_auris_B11221_V1,Cand_auris_B11221_V1,12741178,5520,498019,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,[Candida] auris,2172
GCA_003013715.1,[Candida] auris (GCA_003013715),_candida_auris_gca_003013715.Cand_auris_B11220,Cand_auris_B11220,12111869,5382,498019,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,[Candida] auris,2131
GCA_003014415.1,[Candida] auris (GCA_003014415),_candida_auris_gca_003014415.Cand_auris_B11243,Cand_auris_B11243,12354602,5437,498019,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,[Candida] auris,2153
GCA_002926085.1,[Candida] duobushaemulonis str. B09383 (GCA_002926085),_candida_duobushaemulonis_gca_002926085.CanDuoHae_v1.0,CanDuoHae_v1.0,12580400,5173,1231522,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,[Candida] duobushaemulonis,2134
GCA_000002545.2,[Candida] glabrata str. CBS138 (GCA_000002545),_candida_glabrata_gca_000002545.ASM254v2,ASM254v2,12318245,5202,5478,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] glabrata,1972
GCA_001466525.1,[Candida] glabrata (GCA_001466525),_candida_glabrata_gca_001466525.ASM146652v1,ASM146652v1,12622465,5214,5478,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] glabrata,2019
GCA_001466535.1,[Candida] glabrata (GCA_001466535),_candida_glabrata_gca_001466535.ASM146653v1,ASM146653v1,12604920,5191,5478,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] glabrata,1994
