ACCESSION,DISPLAY_NAME,DNA_URL,PEP_URL,GFF_URL
GCA_001661425.1,[Candida] arabinofermentans NRRL YB-2248 (GCA_001661425),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_arabinofermentans_nrrl_yb_2248_gca_001661425/dna/_candida_arabinofermentans_nrrl_yb_2248_gca_001661425.Canar1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_arabinofermentans_nrrl_yb_2248_gca_001661425/pep/_candida_arabinofermentans_nrrl_yb_2248_gca_001661425.Canar1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota3_collection/_candida_arabinofermentans_nrrl_yb_2248_gca_001661425/_candida_arabinofermentans_nrrl_yb_2248_gca_001661425.Canar1.49.gff3.gz
GCA_001189475.1,[Candida] auris str. 6684 (GCA_001189475),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_auris_gca_001189475/dna/_candida_auris_gca_001189475.ASM118947v1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_auris_gca_001189475/pep/_candida_auris_gca_001189475.ASM118947v1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota3_collection/_candida_auris_gca_001189475/_candida_auris_gca_001189475.ASM118947v1.49.gff3.gz
GCA_002759435.2,[Candida] auris (GCA_002759435),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_auris_gca_002759435/dna/_candida_auris_gca_002759435.Cand_auris_B8441_V2.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_auris_gca_002759435/pep/_candida_auris_gca_002759435.Cand_auris_B8441_V2.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota4_collection/_candida_auris_gca_002759435/_candida_auris_gca_002759435.Cand_auris_B8441_V2.49.gff3.gz
GCA_002775015.1,[Candida] auris (GCA_002775015),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_auris_gca_002775015/dna/_candida_auris_gca_002775015.Cand_auris_B11221_V1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_auris_gca_002775015/pep/_candida_auris_gca_002775015.Cand_auris_B11221_V1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota3_collection/_candida_auris_gca_002775015/_candida_auris_gca_002775015.Cand_auris_B11221_V1.49.gff3.gz
GCA_003013715.1,[Candida] auris (GCA_003013715),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_auris_gca_003013715/dna/_candida_auris_gca_003013715.Cand_auris_B11220.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_auris_gca_003013715/pep/_candida_auris_gca_003013715.Cand_auris_B11220.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota4_collection/_candida_auris_gca_003013715/_candida_auris_gca_003013715.Cand_auris_B11220.49.gff3.gz
GCA_003014415.1,[Candida] auris (GCA_003014415),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_auris_gca_003014415/dna/_candida_auris_gca_003014415.Cand_auris_B11243.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_auris_gca_003014415/pep/_candida_auris_gca_003014415.Cand_auris_B11243.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota4_collection/_candida_auris_gca_003014415/_candida_auris_gca_003014415.Cand_auris_B11243.49.gff3.gz
GCA_002926085.1,[Candida] duobushaemulonis str. B09383 (GCA_002926085),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_duobushaemulonis_gca_002926085/dna/_candida_duobushaemulonis_gca_002926085.CanDuoHae_v1.0.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_duobushaemulonis_gca_002926085/pep/_candida_duobushaemulonis_gca_002926085.CanDuoHae_v1.0.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota4_collection/_candida_duobushaemulonis_gca_002926085/_candida_duobushaemulonis_gca_002926085.CanDuoHae_v1.0.49.gff3.gz
GCA_000002545.2,[Candida] glabrata str. CBS138 (GCA_000002545),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/_candida_glabrata_gca_000002545/dna/_candida_glabrata_gca_000002545.ASM254v2.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/_candida_glabrata_gca_000002545/pep/_candida_glabrata_gca_000002545.ASM254v2.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota1_collection/_candida_glabrata_gca_000002545/_candida_glabrata_gca_000002545.ASM254v2.49.gff3.gz
GCA_001466525.1,[Candida] glabrata (GCA_001466525),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466525/dna/_candida_glabrata_gca_001466525.ASM146652v1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466525/pep/_candida_glabrata_gca_001466525.ASM146652v1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota3_collection/_candida_glabrata_gca_001466525/_candida_glabrata_gca_001466525.ASM146652v1.49.gff3.gz
GCA_001466535.1,[Candida] glabrata (GCA_001466535),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466535/dna/_candida_glabrata_gca_001466535.ASM146653v1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466535/pep/_candida_glabrata_gca_001466535.ASM146653v1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota3_collection/_candida_glabrata_gca_001466535/_candida_glabrata_gca_001466535.ASM146653v1.49.gff3.gz
